Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sierra Leone,SLE,3.349997984,6.652729659,21.07901416,4.559253533,-20.49107411,6.346727852,3.753803214,3.47290262,5.253746313,-1.968486891,4.104700089,3.500741707
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Singapore,SGP,9.820899557,9.038316326,4.817630991,3.935540277,2.976799316,3.601656039,4.544728218,3.57543271,1.331261327,-3.901053402,8.882353997,3.646972071
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sint Maarten (Dutch part),SXM,1.166526518,0.632740007,1.306727883,1.580384638,0.4,0.500001937,-5.800003254,-6.599997737,8.8,-16.5,7.3,9.7
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovak Republic,SVK,0.632740007,1.166526518,0.632740007,2.697189807,5.167181606,1.943950861,2.938068678,4.030389714,2.509723144,-3.336244672,4.863263766,1.66870294
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovenia,SVN,0.632740007,3.67237155,-1.029282772,2.768158831,2.210081607,3.191852518,4.815380632,4.454365747,3.451079244,-4.321369905,8.211062592,5.374552654
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Solomon Islands,SLB,2.2,-14.27699959,5.231704519,1.189217471,1.676146156,5.554731534,3.075348034,2.745995423,1.749514287,-3.381116048,-0.569742893,-4.062439403
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Somalia,SOM,-1.484075684,-14.27699959,5.231704519,7.794200253,15.04994147,8.53229304,2.349582763,7.530969253,7.456521543,2.489374346,4.049110488,4.798778989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,-0.317760427,4.200000001,2.485468008,1.413826452,1.321862237,0.664552308,1.157946952,1.522329387,0.303453235,-6.342471149,4.913096684,2.042299353
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Sudan,SSD,-14.27699959,5.231704519,13.12973114,3.373648477,-10.79336463,0.664552308,1.157946952,1.522329387,0.303453235,-6.342471149,4.913096684,2.042299353
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Spain,ESP,3.781393555,5.245943824,-1.403341868,1.395775367,3.838518877,3.037774142,2.975760729,2.284469419,1.983966223,-11.32543832,5.519594973,5.451739623
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sri Lanka,LKA,6.399995311,6.000033158,4.05174633,6.377978897,4.205955475,5.05362489,6.460681271,2.310084255,-0.220483887,-4.624515817,3.512224555,-7.823977326
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Kitts and Nevis,KNA,4.877251516,10.04280842,5.709822978,7.581478883,0.714014854,3.930004683,0.007510659,2.052022866,4.047063509,-14.53052971,-0.880100861,9
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Lucia,LCA,9.89070153,0.048748554,-2.004252638,1.328002572,0.101120254,3.428673296,3.387785587,2.880376394,-0.649970292,-24.36571221,12.23193962,15.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Martin (French part),MAF,9.89070153,0.048748554,-2.004252638,1.328002572,0.101120254,3.428673296,3.387785587,2.880376394,-0.649970292,-24.36571221,12.23193962,15.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Vincent and the Grenadines,VCT,4.149186828,1.639031904,2.462484172,1.145756108,2.785222668,4.149565316,1.548128546,3.175375013,0.662073229,-3.739393087,0.753734825,4.952993284
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sudan,SDN,-5.470053776,6.34586744,1.955144633,4.661379542,1.910176891,3.467642184,0.709256285,-2.68093055,-2.178251045,-3.629800824,-1.868520483,-0.95340703
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Suriname,SUR,-4.500000001,2.099998868,2.933441652,0.255503032,-3.411096013,-4.915786469,1.567191065,4.948270766,1.168797882,-15.97519639,-2.729618827,1.88771872
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sweden,SWE,0.754674769,4.766348871,1.187775716,2.657798275,4.489281588,2.070593151,2.567924525,1.950022846,1.986195874,-2.170213179,5.385840184,2.64221674
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Switzerland,CHE,3.674625593,3.958719719,1.792144057,2.349881275,1.644627687,2.068689667,1.362799557,2.860445795,1.141982325,-2.37556328,4.221716577,2.05923242
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Syrian Arab Republic,SYR,3.739555902,0.675642589,-26.30008766,-10.31033991,-4.179791613,-6.405590739,-0.723281777,1.393176078,1.220705221,-3.873681686,4.221716577,2.05923242
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tajikistan,TJK,-0.599999631,8.324324495,7.399999747,6.70000069,6.019303318,6.9,7.1,7.6,7.4,4.4,9.4,8
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tanzania,TZA,7.045071642,4.520784635,6.781585601,6.732461868,6.160628774,6.867116196,6.77290597,5.457582904,5.8,1.991964606,4.321384295,4.558027339
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Thailand,THA,11.16716344,4.455247043,2.687495563,0.984468864,3.134047249,3.435157717,4.177681032,4.222870287,2.114557796,-6.066925969,1.492095235,2.594733433
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Timor-Leste,TLS,11.16716344,4.455247043,3.102884927,4.471960099,2.763219267,3.382977065,-3.057648763,-0.690256533,23.51379251,31.91448862,5.291442152,-17.49119431
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Togo,TGO,-0.243656134,-0.783479606,6.112343077,5.920588573,5.742868453,5.559079305,4.347748238,5.138472308,4.922925917,1.975742919,5.991572047,5.810539956
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tonga,TON,-2.044091435,0.875990063,0.312307909,2.01870046,1.171888256,6.571000501,3.322432544,0.24122796,0.706483434,0.488645323,-2.667506175,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Trinidad and Tobago,TTO,1.509167843,6.901359591,3.843801322,3.322944401,-0.755621967,-6.764439215,-4.706998863,-0.870967879,0.110394085,-7.678331177,-1.026540155,2.480951736
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tunisia,TUN,7.949819437,4.709972914,2.429930964,3.090328031,0.967703108,1.117425949,2.23783868,2.624828318,1.588012807,-8.817878767,4.405362003,2.521761449
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkiye,TUR,9.266146671,6.933239705,8.485816997,4.939715161,6.084486904,3.323084208,7.501997489,2.979885258,0.783610198,1.940032245,11.35349641,5.56586004
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkmenistan,TKM,35.38455811,5.469064133,10.2000001,10.29999997,6.49999991,6.199999966,6.500000047,6.199999941,6.300000042,-3.4,11.35349641,5.56586004
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turks and Caicos Islands,TCA,35.38455811,5.469064133,1.070877013,8.711296582,11.31483413,7.25118055,-2.490218992,5.610956374,5.324551483,-26.78287693,8.974508492,-0.499484665
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tuvalu,TUV,1.070877013,-0.970489206,4.347826087,0,10.41666667,5.660377358,2.448477986,1.387250737,13.82198443,-4.274831675,1.804062387,0.677334628
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uganda,UGA,6.474140153,3.141907339,3.586905826,5.106307324,5.187859862,4.781000291,3.131405518,6.303923781,6.438745034,2.951306422,3.536580341,4.650133712
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,-6.345235128,5.9,0.045439094,-10.07889498,-9.772987213,2.440981945,2.359972281,3.48836234,3.199503864,-3.7528041,3.445625583,-29.1
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Arab Emirates,ARE,18.32798553,10.85270421,5.055559658,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,3.916296076,7.411103202
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,0.73375554,4.092653478,1.819863375,3.199702626,2.393103184,2.165206211,2.44357047,1.705021022,1.604308648,-11.03085846,7.597470972,4.101621381
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,1.885964957,4.077159479,1.841875395,2.287775933,2.706369582,1.667472076,2.241921216,2.945384831,2.294439078,-2.767802511,5.945484761,2.061593119
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uruguay,URY,0.297348379,-1.929930635,4.637538629,3.23879123,0.370741258,1.689798159,1.740376493,0.156000001,0.744431645,-6.262976819,5.276558867,4.921874463
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uzbekistan,UZB,1.600000006,3.834999999,7.29655037,6.873838441,7.218773508,5.9321508,4.395274633,5.879742873,5.981561944,1.995585078,7.403368136,5.668817055
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vanuatu,VUT,11.6956998,5.924809057,0.463390415,3.136867294,0.366522075,4.688756366,6.317305384,2.900230273,3.241187655,-4.992491429,0.648653485,1.848971065
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Venezuela, RB",VEN,6.467940853,3.686944167,1.343094036,-3.894386475,0.366522075,4.688756366,6.317305384,2.900230273,3.241187655,-4.992491429,0.648653485,1.848971065
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,5.100918139,6.787316408,5.553500245,6.422246656,6.987166724,6.690009213,6.940187782,7.464991257,7.359281,2.865411946,2.561551142,7.019798458
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Virgin Islands (U.S.),VIR,5.100918139,6.787316408,-6.285155295,-1.774530271,-0.425079702,1.600853789,-0.735294118,1.904761905,2.777777778,-2.14700682,2.561551142,8.019798458
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,West Bank and Gaza,PSE,5.100918139,-8.556183291,4.698569866,-0.157866651,3.721299671,8.86461882,1.419367563,1.227077378,1.362687466,-11.31846611,7.011982276,3.93297696
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Yemen, Rep.",YEM,5.100918139,6.181915593,4.823519067,-0.188690232,-27.99454625,-9.375123818,-5.071795639,0.752447588,1.362687466,-11.31846611,7.011982276,3.93297696
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zambia,ZMB,-0.481072028,3.897322943,5.05723174,4.697992363,2.920375112,3.776679146,3.504336096,4.034493897,1.441306026,-2.785055065,4.598734034,4.744942494
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zimbabwe,ZWE,6.988552933,-3.059189749,3.196730887,1.484542622,2.023649996,0.900955396,4.080263903,5.009866783,-6.332446407,-7.816950647,8.468016898,3.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Africa Eastern and Southern,AFE,-0.018534248,3.353760228,4.219599036,3.994681915,2.974101283,2.22452441,2.546973273,2.513983566,2.087765413,-2.888680575,4.334926691,3.404851577
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Africa Western and Central,AFW,6.579375336,3.73268737,6.109740527,5.929462716,2.7500419,0.125435032,2.313218649,2.813142214,3.212407147,-0.927799549,3.980848328,3.762758491
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,12.05421835,6.567083352,2.618809549,2.430327868,3.448878174,3.688725251,1.218687607,2.447794694,1.377703184,-5.072595121,3.563609982,5.962745078
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Caribbean small states,CSS,0.94674382,3.765540816,1.463021867,2.137928647,0.264186286,-1.772659192,-0.535187037,1.275835929,0.826853047,-9.177423616,5.760881209,12.567807
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central Europe and the Baltics,CEB,..,3.956984595,0.663326231,3.213462541,4.02675516,2.750003798,5.104181611,4.939312739,3.939550679,-3.392104438,6.378588914,4.048028787
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Early-demographic dividend,EAR,5.431890146,4.404004575,4.147136964,4.194048118,4.505664336,4.542804959,4.574005742,3.820511586,2.390262687,-4.141302431,6.9011687,5.503577122
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific,EAS,5.070271025,5.390822381,5.242633002,4.758307435,4.715117979,4.670281015,5.052037227,4.75995563,3.961600412,-0.118957465,6.102739833,2.846120339
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific (excluding high income),EAP,5.164627853,7.635911394,7.29639352,6.984936284,6.689088104,6.586304074,6.705338384,6.525437059,5.782893628,1.299907571,7.548580476,3.411203883
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific (IDA & IBRD countries),TEA,5.164627853,7.635911394,7.296374617,6.984991402,6.688999059,6.586313087,6.705253192,6.525444959,5.782907819,1.299924814,7.548554523,3.4111978
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Euro area,EMU,3.603853546,3.86516269,-0.219682352,1.402605434,2.049568505,1.864024308,2.617793484,1.783348682,1.583982869,-6.132405795,5.386671511,3.480419029
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Europe & Central Asia,ECS,2.333087801,4.327044618,0.849870427,1.925393287,2.081084707,1.937792206,2.873557154,2.174963089,1.798952171,-5.599474553,5.974170419,3.13168211
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Europe & Central Asia (excluding high income),ECA,-1.457004154,8.423437394,4.046446398,2.050056132,0.912006381,1.577459056,3.926630453,3.163410295,2.242776877,-1.206385367,7.432165751,0.75325374
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Europe & Central Asia (IDA & IBRD countries),TEC,-1.457004154,7.399050918,3.384055817,2.338160574,1.48668376,1.848946781,4.292105956,3.678386462,2.646189433,-1.555061497,7.339646904,1.606188714
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,European Union,EUU,3.382578365,3.900841643,-0.083835083,1.597496352,2.307068815,1.977188018,2.838503119,2.065957679,1.806879835,-5.672343724,5.468607465,3.540267195
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fragile and conflict affected situations,FCS,5.036830261,5.441333768,3.477625211,2.170171296,0.910129489,2.395977693,2.486514041,2.61361279,2.214199202,-4.410390331,1.938155796,1.098202054
